ICD-10-CM-CODE,ICD-O-3-PRIMARY-SITE,HISTOLOGY,BEHAVIOR,GRADE,LATERALITY,REPORTABILITY,GENDER
C00,C009,8000,3,9,0,Y,
C000,C000,8000,3,9,0,Y,
C001,C001,8000,3,9,0,Y,
C002,C002,8000,3,9,0,Y,
C003,C003,8000,3,9,0,Y,
C004,C004,8000,3,9,0,Y,
C005,C005,8000,3,9,0,Y,
C006,C006,8000,3,9,0,Y,
C008,C008,8000,3,9,0,Y,
C009,C009,8000,3,9,0,Y,
C01,C019,8000,3,9,0,Y,
C02,C029,8000,3,9,0,Y,
C020,C020,8000,3,9,0,Y,
C021,C021,8000,3,9,0,Y,
C022,C022,8000,3,9,0,Y,
C023,C023,8000,3,9,0,Y,
C024,C024,8000,3,9,0,Y,
C028,C028,8000,3,9,0,Y,
C029,C029,8000,3,9,0,Y,
C03,C039,8000,3,9,0,Y,
C030,C030,8000,3,9,0,Y,
C031,C031,8000,3,9,0,Y,
C039,C039,8000,3,9,0,Y,
C04,C049,8000,3,9,0,Y,
C040,C040,8000,3,9,0,Y,
C041,C041,8000,3,9,0,Y,
C048,C048,8000,3,9,0,Y,
C049,C049,8000,3,9,0,Y,
C05,C059,8000,3,9,0,Y,
C050,C050,8000,3,9,0,Y,
C051,C051,8000,3,9,0,Y,
C052,C052,8000,3,9,0,Y,
C058,C058,8000,3,9,0,Y,
C059,C059,8000,3,9,0,Y,
C06,C069,8000,3,9,0,Y,
C060,C060,8000,3,9,0,Y,
C061,C061,8000,3,9,0,Y,
C062,C062,8000,3,9,0,Y,
C068,C069,8000,3,9,0,Y,
C0680,C068,8000,3,9,0,Y,
C0689,C068,8000,3,9,0,Y,
C069,C069,8000,3,9,0,Y,
C07,C079,8000,3,9,9,Y,
C08,C089,8000,3,9,0,Y,
C080,C080,8000,3,9,9,Y,
C081,C081,8000,3,9,9,Y,
C089,C089,8000,3,9,0,Y,
C09,C099,8000,3,9,9,Y,
C090,C090,8000,3,9,9,Y,
C091,C091,8000,3,9,9,Y,
C098,C098,8000,3,9,9,Y,
C099,C099,8000,3,9,9,Y,
C10,C109,8000,3,9,0,Y,
C100,C100,8000,3,9,0,Y,
C101,C101,8000,3,9,0,Y,
C102,C102,8000,3,9,0,Y,
C103,C103,8000,3,9,0,Y,
C104,C104,8000,3,9,0,Y,
C108,C108,8000,3,9,0,Y,
C109,C109,8000,3,9,0,Y,
C11,C119,8000,3,9,0,Y,
C110,C110,8000,3,9,0,Y,
C111,C111,8000,3,9,0,Y,
C112,C112,8000,3,9,0,Y,
C113,C113,8000,3,9,0,Y,
C118,C118,8000,3,9,0,Y,
C119,C119,8000,3,9,0,Y,
C12,C129,8000,3,9,0,Y,
C13,C139,8000,3,9,0,Y,
C130,C130,8000,3,9,0,Y,
C131,C131,8000,3,9,0,Y,
C132,C132,8000,3,9,0,Y,
C138,C138,8000,3,9,0,Y,
C139,C139,8000,3,9,0,Y,
C14,C148,8000,3,9,0,Y,
C140,C140,8000,3,9,0,Y,
C142,C142,8000,3,9,0,Y,
C148,C148,8000,3,9,0,Y,
C15,C159,8000,3,9,0,Y,
C153,C153,8000,3,9,0,Y,
C154,C154,8000,3,9,0,Y,
C155,C155,8000,3,9,0,Y,
C158,C158,8000,3,9,0,Y,
C159,C159,8000,3,9,0,Y,
C16,C169,8000,3,9,0,Y,
C160,C160,8000,3,9,0,Y,
C161,C161,8000,3,9,0,Y,
C162,C162,8000,3,9,0,Y,
C163,C163,8000,3,9,0,Y,
C164,C164,8000,3,9,0,Y,
C165,C165,8000,3,9,0,Y,
C166,C166,8000,3,9,0,Y,
C168,C168,8000,3,9,0,Y,
C169,C169,8000,3,9,0,Y,
C17,C179,8000,3,9,0,Y,
C170,C170,8000,3,9,0,Y,
C171,C171,8000,3,9,0,Y,
C172,C172,8000,3,9,0,Y,
C173,C173,8000,3,9,0,Y,
C178,C178,8000,3,9,0,Y,
C179,C179,8000,3,9,0,Y,
C18,C189,8000,3,9,0,Y,
C180,C180,8000,3,9,0,Y,
C181,C181,8000,3,9,0,Y,
C182,C182,8000,3,9,0,Y,
C183,C183,8000,3,9,0,Y,
C184,C184,8000,3,9,0,Y,
C185,C185,8000,3,9,0,Y,
C186,C186,8000,3,9,0,Y,
C187,C187,8000,3,9,0,Y,
C188,C188,8000,3,9,0,Y,
C189,C189,8000,3,9,0,Y,
C19,C199,8000,3,9,0,Y,
C20,C209,8000,3,9,0,Y,
C21,C218,8000,3,9,0,Y,
C210,C210,8000,3,9,0,Y,
C211,C211,8000,3,9,0,Y,
C212,C212,8000,3,9,0,Y,
C218,C218,8000,3,9,0,Y,
C22,C220,8000,3,9,0,Y,
C220,C220,8170,3,9,0,Y,
C221,C221,8160,3,9,0,Y,
C222,C220,8970,3,9,0,Y,
C223,C220,9120,3,9,0,Y,
C224,C220,8800,3,9,0,Y,
C227,C220,8010,3,9,0,Y,
C228,C220,8000,3,9,0,Y,
C229,C220,8000,3,9,0,Y,
C23,C239,8000,3,9,0,Y,
C24,C249,8000,3,9,0,Y,
C240,C240,8000,3,9,0,Y,
C241,C241,8000,3,9,0,Y,
C248,C248,8000,3,9,0,Y,
C249,C249,8000,3,9,0,Y,
C25,C259,8000,3,9,0,Y,
C250,C250,8000,3,9,0,Y,
C251,C251,8000,3,9,0,Y,
C252,C252,8000,3,9,0,Y,
C253,C253,8000,3,9,0,Y,
C254,C254,8000,3,9,0,Y,
C257,C257,8000,3,9,0,Y,
C258,C258,8000,3,9,0,Y,
C259,C259,8000,3,9,0,Y,
C26,C269,8000,3,9,0,Y,
C260,C260,8000,3,9,0,Y,
C261,C422,9590,3,9,0,Y,
C269,C269,8000,3,9,0,Y,
C30,C300,8000,3,9,9,Y,
C300,C300,8000,3,9,9,Y,
C301,C301,8000,3,9,9,Y,
C31,C319,8000,3,9,0,Y,
C310,C310,8000,3,9,9,Y,
C311,C311,8000,3,9,0,Y,
C312,C312,8000,3,9,9,Y,
C313,C313,8000,3,9,0,Y,
C318,C318,8000,3,9,0,Y,
C319,C319,8000,3,9,0,Y,
C32,C329,8000,3,9,0,Y,
C320,C320,8000,3,9,0,Y,
C321,C321,8000,3,9,0,Y,
C322,C322,8000,3,9,0,Y,
C323,C323,8000,3,9,0,Y,
C328,C328,8000,3,9,0,Y,
C329,C329,8000,3,9,0,Y,
C33,C339,8000,3,9,0,Y,
C34,C349,8000,3,9,9,Y,
C340,C340,8000,3,9,9,Y,
C3400,C340,8000,3,9,9,Y,
C3401,C340,8000,3,9,1,Y,
C3402,C340,8000,3,9,2,Y,
C341,C341,8000,3,9,9,Y,
C3410,C341,8000,3,9,9,Y,
C3411,C341,8000,3,9,1,Y,
C3412,C341,8000,3,9,2,Y,
C342,C342,8000,3,9,1,Y,
C343,C343,8000,3,9,9,Y,
C3430,C343,8000,3,9,9,Y,
C3431,C343,8000,3,9,1,Y,
C3432,C343,8000,3,9,2,Y,
C348,C348,8000,3,9,9,Y,
C3480,C348,8000,3,9,9,Y,
C3481,C348,8000,3,9,1,Y,
C3482,C348,8000,3,9,2,Y,
C349,C349,8000,3,9,9,Y,
C3490,C349,8000,3,9,9,Y,
C3491,C349,8000,3,9,1,Y,
C3492,C349,8000,3,9,2,Y,
C37,C379,8000,3,9,0,Y,
C38,C388,8000,3,9,0,Y,
C380,C380,8000,3,9,0,Y,
C381,C381,8000,3,9,0,Y,
C382,C382,8000,3,9,0,Y,
C383,C383,8000,3,9,0,Y,
C384,C384,8000,3,9,9,Y,
C388,C388,8000,3,9,0,Y,
C39,C399,8000,3,9,0,Y,
C390,C390,8000,3,9,0,Y,
C399,C399,8000,3,9,0,Y,
C40,C409,8000,3,9,0,Y,
C400,C400,8000,3,9,9,Y,
C4000,C400,8000,3,9,9,Y,
C4001,C400,8000,3,9,1,Y,
C4002,C400,8000,3,9,2,Y,
C401,C401,8000,3,9,9,Y,
C4010,C401,8000,3,9,9,Y,
C4011,C401,8000,3,9,1,Y,
C4012,C401,8000,3,9,2,Y,
C402,C402,8000,3,9,9,Y,
C4020,C402,8000,3,9,9,Y,
C4021,C402,8000,3,9,1,Y,
C4022,C402,8000,3,9,2,Y,
C403,C403,8000,3,9,9,Y,
C4030,C403,8000,3,9,9,Y,
C4031,C403,8000,3,9,1,Y,
C4032,C403,8000,3,9,2,Y,
C408,C408,8000,3,9,0,Y,
C4080,C408,8000,3,9,0,Y,
C4081,C408,8000,3,9,1,Y,
C4082,C408,8000,3,9,2,Y,
C409,C409,8000,3,9,0,Y,
C4090,C409,8000,3,9,0,Y,
C4091,C409,8000,3,9,1,Y,
C4092,C409,8000,3,9,2,Y,
C41,C419,8000,3,9,0,Y,
C410,C410,8000,3,9,0,Y,
C411,C411,8000,3,9,0,Y,
C412,C412,8000,3,9,0,Y,
C413,C413,8000,3,9,9,Y,
C414,C414,8000,3,9,9,Y,
C419,C419,8000,3,9,0,Y,
C43,C449,8720,3,9,0,Y,
C430,C440,8720,3,9,0,Y,
C431,C441,8720,3,9,9,Y,
C4310,C441,8720,3,9,9,Y,
C4311,C441,8720,3,9,1,Y,
C4312,C441,8720,3,9,2,Y,
C432,C442,8720,3,9,9,Y,
C4320,C442,8720,3,9,9,Y,
C4321,C442,8720,3,9,1,Y,
C4322,C442,8720,3,9,2,Y,
C433,C443,8720,3,9,9,Y,
C4330,C443,8720,3,9,9,Y,
C4331,C443,8720,3,9,9,Y,
C4339,C443,8720,3,9,9,Y,
C434,C443,8720,3,9,9,Y,
C435,C445,8720,3,9,9,Y,
C4351,C445,8720,3,9,9,Y,
C4352,C445,8720,3,9,9,Y,
C4359,C445,8720,3,9,9,Y,
C436,C446,8720,3,9,9,Y,
C4360,C446,8720,3,9,9,Y,
C4361,C446,8720,3,9,1,Y,
C4362,C446,8720,3,9,2,Y,
C437,C447,8720,3,9,9,Y,
C4370,C447,8720,3,9,9,Y,
C4371,C447,8720,3,9,1,Y,
C4372,C447,8720,3,9,2,Y,
C438,C448,8720,3,9,0,Y,
C439,C449,8720,3,9,0,Y,
C45,C384,9050,3,9,9,Y,
C450,C384,9050,3,9,9,Y,
C451,C482,9050,3,9,0,Y,
C452,C380,9050,3,9,0,Y,
C457,C384,9050,3,9,9,Y,
C459,C384,9050,3,9,9,Y,
C46,C449,9140,3,9,0,Y,
C460,C449,9140,3,9,0,Y,
C461,C499,9140,3,9,0,Y,
C462,C059,9140,3,9,0,Y,
C463,C779,9140,3,9,0,Y,
C464,C269,9140,3,9,0,Y,
C465,C349,9140,3,9,9,Y,
C4650,C349,9140,3,9,9,Y,
C4651,C349,9140,3,9,1,Y,
C4652,C349,9140,3,9,2,Y,
C467,C809,9140,3,9,0,Y,
C469,C449,9140,3,9,0,Y,
C47,C479,8000,3,9,0,Y,
C470,C470,8000,3,9,0,Y,
C471,C471,8000,3,9,9,Y,
C4710,C471,8000,3,9,9,Y,
C4711,C471,8000,3,9,1,Y,
C4712,C471,8000,3,9,2,Y,
C472,C472,8000,3,9,9,Y,
C4720,C472,8000,3,9,9,Y,
C4721,C472,8000,3,9,1,Y,
C4722,C472,8000,3,9,2,Y,
C473,C473,8000,3,9,0,Y,
C474,C474,8000,3,9,0,Y,
C475,C475,8000,3,9,0,Y,
C476,C476,8000,3,9,0,Y,
C478,C478,8000,3,9,0,Y,
C479,C479,8000,3,9,0,Y,
C48,C488,8000,3,9,0,Y,
C480,C480,8000,3,9,0,Y,
C481,C481,8000,3,9,0,Y,
C482,C482,8000,3,9,0,Y,
C488,C488,8000,3,9,0,Y,
C49,C499,8000,3,9,0,Y,
C490,C490,8000,3,9,0,Y,
C491,C491,8000,3,9,9,Y,
C4910,C491,8000,3,9,9,Y,
C4911,C491,8000,3,9,1,Y,
C4912,C491,8000,3,9,2,Y,
C492,C492,8000,3,9,9,Y,
C4920,C492,8000,3,9,9,Y,
C4921,C492,8000,3,9,1,Y,
C4922,C492,8000,3,9,2,Y,
C493,C493,8000,3,9,0,Y,
C494,C494,8000,3,9,0,Y,
C495,C495,8000,3,9,0,Y,
C496,C496,8000,3,9,0,Y,
C498,C498,8000,3,9,0,Y,
C499,C499,8000,3,9,0,Y,
C4A,C449,8247,3,9,0,Y,
C4A0,C440,8247,3,9,0,Y,
C4A1,C441,8247,3,9,9,Y,
C4A10,C441,8247,3,9,9,Y,
C4A11,C441,8247,3,9,1,Y,
C4A12,C441,8247,3,9,2,Y,
C4A2,C442,8247,3,9,9,Y,
C4A20,C442,8247,3,9,9,Y,
C4A21,C442,8247,3,9,1,Y,
C4A22,C442,8247,3,9,2,Y,
C4A3,C443,8247,3,9,9,Y,
C4A30,C443,8247,3,9,9,Y,
C4A31,C443,8247,3,9,1,Y,
C4A39,C443,8247,3,9,2,Y,
C4A4,C444,8247,3,9,0,Y,
C4A5,C445,8247,3,9,9,Y,
C4A51,C445,8247,3,9,9,Y,
C4A52,C445,8247,3,9,9,Y,
C4A59,C445,8247,3,9,9,Y,
C4A6,C446,8247,3,9,9,Y,
C4A60,C446,8247,3,9,9,Y,
C4A61,C446,8247,3,9,1,Y,
C4A62,C446,8247,3,9,2,Y,
C4A7,C447,8247,3,9,9,Y,
C4A70,C447,8247,3,9,9,Y,
C4A71,C447,8247,3,9,1,Y,
C4A72,C447,8247,3,9,2,Y,
C4A8,C448,8247,3,9,0,Y,
C4A9,C449,8247,3,9,0,Y,
C50,C509,8000,3,9,9,Y,
C500,C500,8000,3,9,9,Y,
C5001,C500,8000,3,9,9,Y,
C50011,C500,8000,3,9,1,Y,
C50012,C500,8000,3,9,2,Y,
C50019,C500,8000,3,9,9,Y,
C5002,C500,8000,3,9,9,Y,
C50021,C500,8000,3,9,1,Y,
C50022,C500,8000,3,9,2,Y,
C50029,C500,8000,3,9,9,Y,
C501,C501,8000,3,9,9,Y,
C5011,C501,8000,3,9,9,Y,
C50111,C501,8000,3,9,1,Y,
C50112,C501,8000,3,9,2,Y,
C50119,C501,8000,3,9,9,Y,
C5012,C501,8000,3,9,9,Y,
C50121,C501,8000,3,9,1,Y,
C50122,C501,8000,3,9,2,Y,
C50129,C501,8000,3,9,9,Y,
C502,C502,8000,3,9,9,Y,
C5021,C502,8000,3,9,9,Y,
C50211,C502,8000,3,9,1,Y,
C50212,C502,8000,3,9,2,Y,
C50219,C502,8000,3,9,9,Y,
C5022,C502,8000,3,9,9,Y,
C50221,C502,8000,3,9,1,Y,
C50222,C502,8000,3,9,2,Y,
C50229,C502,8000,3,9,9,Y,
C503,C503,8000,3,9,9,Y,
C5031,C503,8000,3,9,9,Y,
C50311,C503,8000,3,9,1,Y,
C50312,C503,8000,3,9,2,Y,
C50319,C503,8000,3,9,9,Y,
C5032,C503,8000,3,9,9,Y,
C50321,C503,8000,3,9,1,Y,
C50322,C503,8000,3,9,2,Y,
C50329,C503,8000,3,9,9,Y,
C504,C504,8000,3,9,9,Y,
C5041,C504,8000,3,9,9,Y,
C50411,C504,8000,3,9,1,Y,
C50412,C504,8000,3,9,2,Y,
C50419,C504,8000,3,9,9,Y,
C5042,C504,8000,3,9,9,Y,
C50421,C504,8000,3,9,1,Y,
C50422,C504,8000,3,9,2,Y,
C50429,C504,8000,3,9,9,Y,
C505,C505,8000,3,9,9,Y,
C5051,C505,8000,3,9,9,Y,
C50511,C505,8000,3,9,1,Y,
C50512,C505,8000,3,9,2,Y,
C50519,C505,8000,3,9,9,Y,
C5052,C505,8000,3,9,9,Y,
C50521,C505,8000,3,9,1,Y,
C50522,C505,8000,3,9,2,Y,
C50529,C505,8000,3,9,9,Y,
C506,C506,8000,3,9,9,Y,
C5061,C506,8000,3,9,9,Y,
C50611,C506,8000,3,9,1,Y,
C50612,C506,8000,3,9,2,Y,
C50619,C506,8000,3,9,9,Y,
C5062,C506,8000,3,9,9,Y,
C50621,C506,8000,3,9,1,Y,
C50622,C506,8000,3,9,2,Y,
C50629,C506,8000,3,9,9,Y,
C508,C508,8000,3,9,9,Y,
C5081,C508,8000,3,9,9,Y,
C50811,C508,8000,3,9,1,Y,
C50812,C508,8000,3,9,2,Y,
C50819,C508,8000,3,9,9,Y,
C5082,C508,8000,3,9,9,Y,
C50821,C508,8000,3,9,1,Y,
C50822,C508,8000,3,9,2,Y,
C50829,C508,8000,3,9,9,Y,
C509,C509,8000,3,9,9,Y,
C5091,C509,8000,3,9,9,Y,
C50911,C509,8000,3,9,1,Y,
C50912,C509,8000,3,9,2,Y,
C50919,C509,8000,3,9,9,Y,
C5092,C509,8000,3,9,9,Y,
C50921,C509,8000,3,9,1,Y,
C50922,C509,8000,3,9,2,Y,
C50929,C509,8000,3,9,9,Y,
C51,C519,8000,3,9,0,Y,
C510,C510,8000,3,9,0,Y,
C511,C511,8000,3,9,0,Y,
C512,C512,8000,3,9,0,Y,
C518,C518,8000,3,9,0,Y,
C519,C519,8000,3,9,0,Y,
C52,C529,8000,3,9,0,Y,
C53,C539,8000,3,9,0,Y,
C530,C530,8000,3,9,0,Y,
C531,C531,8000,3,9,0,Y,
C538,C538,8000,3,9,0,Y,
C539,C539,8000,3,9,0,Y,
C54,C549,8000,3,9,0,Y,
C540,C540,8000,3,9,0,Y,
C541,C541,8000,3,9,0,Y,
C542,C542,8000,3,9,0,Y,
C543,C543,8000,3,9,0,Y,
C548,C548,8000,3,9,0,Y,
C549,C549,8000,3,9,0,Y,
C55,C559,8000,3,9,0,Y,
C56,C569,8000,3,9,9,Y,
C561,C569,8000,3,9,1,Y,
C562,C569,8000,3,9,2,Y,
C569,C569,8000,3,9,9,Y,
C57,C579,8000,3,9,0,Y,
C570,C570,8000,3,9,9,Y,
C5700,C570,8000,3,9,9,Y,
C5701,C570,8000,3,9,1,Y,
C5702,C570,8000,3,9,2,Y,
C571,C571,8000,3,9,0,Y,
C5710,C571,8000,3,9,0,Y,
C5711,C571,8000,3,9,1,Y,
C5712,C571,8000,3,9,2,Y,
C572,C572,8000,3,9,0,Y,
C5720,C572,8000,3,9,0,Y,
C5721,C572,8000,3,9,1,Y,
C5722,C572,8000,3,9,2,Y,
C573,C573,8000,3,9,0,Y,
C574,C574,8000,3,9,0,Y,
C577,C577,8000,3,9,0,Y,
C578,C578,8000,3,9,0,Y,
C579,C579,8000,3,9,0,Y,
C58,C589,8000,3,9,0,Y,
C60,C609,8000,3,9,0,Y,
C600,C600,8000,3,9,0,Y,
C601,C601,8000,3,9,0,Y,
C602,C602,8000,3,9,0,Y,
C608,C608,8000,3,9,0,Y,
C609,C609,8000,3,9,0,Y,
C61,C619,8000,3,9,0,Y,
C62,C629,8000,3,9,9,Y,
C620,C620,8000,3,9,9,Y,
C6200,C620,8000,3,9,9,Y,
C6201,C620,8000,3,9,1,Y,
C6202,C620,8000,3,9,2,Y,
C621,C621,8000,3,9,9,Y,
C6210,C621,8000,3,9,9,Y,
C6211,C621,8000,3,9,1,Y,
C6212,C621,8000,3,9,2,Y,
C629,C629,8000,3,9,9,Y,
C6290,C629,8000,3,9,9,Y,
C6291,C629,8000,3,9,1,Y,
C6292,C629,8000,3,9,2,Y,
C63,C639,8000,3,9,0,Y,
C630,C630,8000,3,9,9,Y,
C6300,C630,8000,3,9,9,Y,
C6301,C630,8000,3,9,1,Y,
C6302,C630,8000,3,9,2,Y,
C631,C631,8000,3,9,9,Y,
C6310,C631,8000,3,9,9,Y,
