state,county,uiho_2020,uiho_city_2020
"AK","020","1","41"
"AZ","005","1","01"
"AZ","013","1","02"
"AZ","019","1","03"
"CA","001","1","07"
"CA","013","1","07"
"CA","015","1","50"
"CA","019","1","05"
"CA","023","1","50"
"CA","029","1","04"
"CA","037","1","06"
"CA","039","1","05"
"CA","041","1","38"
"CA","059","1","52"
"CA","065","1","48"
"CA","067","1","08"
"CA","073","1","09"
"CA","075","1","38"
"CA","077","1","51"
"CA","079","1","11"
"CA","081","1","38"
"CA","083","1","11"
"CA","085","1","10"
"CA","093","1","50"
"CA","105","1","50"
"CA","107","1","05"
"CA","111","1","11"
"CO","001","1","12"
"CO","005","1","12"
"CO","013","1","12"
"CO","014","1","12"
"CO","031","1","12"
"CO","035","1","12"
"CO","047","1","12"
"CO","059","1","12"
"IL","031","1","13"
"IN","097","1","45"
"IA","193","1","14"
"KS","015","1","15"
"KS","155","1","15"
"KS","173","1","15"
"KS","191","1","15"
"MD","003","1","40"
"MD","005","1","40"
"MD","013","1","40"
"MD","027","1","40"
"MD","033","1","40"
"MD","510","1","40"
"MA","009","1","39"
"MA","017","1","39"
"MA","021","1","39"
"MA","023","1","39"
"MA","025","1","39"
"MI","093","1","17"
"MI","099","1","17"
"MI","115","1","17"
"MI","125","1","17"
"MI","147","1","17"
"MI","161","1","17"
"MI","163","1","17"
"MN","017","1","49"
"MN","053","1","18"
"MN","123","1","18"
"MO","037","1","35"
"MO","047","1","35"
"MO","095","1","35"
"MO","165","1","35"
"MO","189","1","47"
"MO","510","1","47"
"MT","003","1","19"
"MT","007","1","22"
"MT","013","1","21"
"MT","043","1","22"
"MT","049","1","22"
"MT","063","1","23"
"MT","093","1","20"
"MT","111","1","19"
"NE","055","1","14"
"NE","109","1","14"
"NE","153","1","14"
"NE","177","1","14"
"NV","001","1","24"
"NV","005","1","24"
"NV","029","1","24"
"NV","031","1","24"
"NV","510","1","24"
"NM","001","1","25"
"NM","043","1","25"
"NY","005","1","26"
"NY","029","1","44"
"NY","047","1","26"
"NY","061","1","26"
"NY","063","1","44"
"NY","081","1","26"
"NY","085","1","26"
"ND","015","1","43"
"ND","059","1","43"
"OH","035","1","42"
"OH","153","1","42"
"OK","017","1","36"
"OK","027","1","36"
"OK","109","1","36"
"OK","125","1","36"
"OK","143","1","37"
"OR","005","1","27"
"OR","051","1","27"
"OR","067","1","27"
"SD","013","1","28"
"SD","065","1","28"
"SD","099","1","28"
"SD","117","1","28"
"TX","029","1","46"
"TX","085","1","29"
"TX","113","1","29"
"TX","121","1","29"
"TX","139","1","29"
"TX","221","1","29"
"TX","251","1","29"
"TX","257","1","29"
"TX","367","1","29"
"TX","397","1","29"
"TX","439","1","29"
"TX","497","1","29"
"UT","011","1","30"
"UT","035","1","30"
"UT","045","1","30"
"UT","049","1","30"
"UT","057","1","30"
"WA","011","1","27"
"WA","033","1","31"
"WA","063","1","32"
"WI","079","1","34"
"WI","133","1","34"